group,date,home_team,away_team,elo_prob_home,result_home
A,1,Germany,Scotland,,
A,2,Hungary,Switzerland,,
B,3,Spain,Croatia,,
B,4,Italy,Albania,,
D,5,Poland,Netherlands,,
C,6,Slovenia,Denmark,,
C,7,Serbia,England,,
E,8,Romania,Ukraine,,
E,9,Belgium,Slovakia,,
D,10,Austria,France,,
F,11,Turkey,Georgia,,
F,12,Portugal,Czech Republic,,
B,13,Croatia,Albania,,
A,14,Germany,Hungary,,
A,15,Scotland,Switzerland,,
C,16,Slovenia,Serbia,,
C,17,Denmark,England,,
B,18,Spain,Italy,,
E,21,Slovakia,Ukraine,,
D,19,Poland,Austria,,
D,20,Netherlands,France,,
E,22,Georgia,Czech Republic,,
D,23,Turkey,Portugal,,
C,24,Belgium,Romania,,
E,25,Switzerland,Germany,,
F,26,Scotland,Hungary,,
F,27,Albania,Spain,,
E,28,Croatia,Italy,,
G,29,England,Slovenia,,
H,30,Denmark,Serbia,,
G,31,Netherlands,Austria,,
H,32,France,Poland,,
A,33,Slovakia,Romania,,
A,34,Ukraine,Belgium,,
B,35,Georgia,Portugal,,
B,36,Czech Republic,Turkey,,
